bits,delta
8.000000000000000000e+00,-2.000000000000001776e-02
7.000000000000000000e+00,5.500000000000004885e-02
6.000000000000000000e+00,5.799999999999994049e-02
5.000000000000000000e+00,4.405000000000000027e-01
3.000000000000000000e+00,8.849999999999999534e-02
