bits,pct_error
2.000000000000000000e+00,9.978332026251430875e+01
3.000000000000000000e+00,9.784323626208579583e+01
4.000000000000000000e+00,8.729399747547061850e+01
5.000000000000000000e+00,6.871799144936703385e+01
6.000000000000000000e+00,4.813777311094875699e+01
7.000000000000000000e+00,3.113561951309100095e+01
8.000000000000000000e+00,1.914933343128911503e+01
9.000000000000000000e+00,1.136784965878930542e+01
1.000000000000000000e+01,6.576723440004320409e+00
1.100000000000000000e+01,3.743917191529582134e+00
1.200000000000000000e+01,2.099572195960529797e+00
1.300000000000000000e+01,1.165188717971630927e+00
1.400000000000000000e+01,6.399718016230812045e-01
1.500000000000000000e+01,3.477562759834309514e-01
1.600000000000000000e+01,1.848557355379466249e-01
1.700000000000000000e+01,9.642367546604517503e-02
1.800000000000000000e+01,4.992711613643526641e-02
1.900000000000000000e+01,2.581216221783663375e-02
2.000000000000000000e+01,1.245729752844422847e-02
2.100000000000000000e+01,5.094822225913404022e-03
2.200000000000000000e+01,1.426778066025303571e-03
2.300000000000000000e+01,4.373226805055623940e-05
2.400000000000000000e+01,0.000000000000000000e+00
2.500000000000000000e+01,0.000000000000000000e+00
2.600000000000000000e+01,0.000000000000000000e+00
2.700000000000000000e+01,0.000000000000000000e+00
2.800000000000000000e+01,0.000000000000000000e+00
2.900000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+01,0.000000000000000000e+00
3.100000000000000000e+01,0.000000000000000000e+00
3.200000000000000000e+01,0.000000000000000000e+00
